dataset_name,model_name,condition,seed,threshold,threshold_source,first_guard_trigger_step,first_step_update_ratio,max_guard_window_ratio,max_training_ratio,guard_trigger_count,stopped_by_guard,rescued_once,test_acc,ece,nll,brier,generalization_gap_01
dbpedia_14,medium-4,stable_with_guard,42,,calibrated_10x_safe_max,,,0.000177484596696,,0,False,False,0.9861285714285716,0.0067236335694789,0.0571873672306537,0.0222814510838195,0.0039932773109243
dbpedia_14,medium-4,stable_with_guard,123,,calibrated_10x_safe_max,,,0.0001723380905802,,0,False,False,0.9864142857142856,0.0061421574613877,0.0560686327517032,0.0218678576803676,0.0035605042016807
dbpedia_14,medium-4,stable_with_guard,456,,calibrated_10x_safe_max,,,0.0001688164816251,,0,False,False,0.9865571428571428,0.0060439215951732,0.0563726685941219,0.0218228632231903,0.0033462184873949
dbpedia_14,medium-4,fixed_order_with_guard,42,,calibrated_10x_safe_max,,,0.0014770863015895,,0,False,False,0.9866714285714284,0.0051380144510949,0.0539553351700305,0.0216177242059299,0.0052697478991596
dbpedia_14,medium-4,fixed_order_with_guard,123,,calibrated_10x_safe_max,,,0.0014491002379992,,0,False,False,0.9863142857142856,0.005732366060572,0.0538970306515693,0.0216404804326975,0.0054294117647059
dbpedia_14,medium-4,fixed_order_with_guard,456,,calibrated_10x_safe_max,,,0.0014730104252139,,0,False,False,0.9863142857142856,0.0049724715407406,0.0541507937014102,0.0221009985947928,0.0045470588235294
dbpedia_14,large-6,stable_with_guard,42,,calibrated_10x_safe_max,,,0.0003267549527024,,0,False,False,0.9883571428571428,0.0058940285657132,0.0512023456394672,0.0189896531480691,0.0061512605042016
dbpedia_14,large-6,stable_with_guard,123,,calibrated_10x_safe_max,,,0.0003309507171594,,0,False,False,0.988,0.0058114812552929,0.0515608638525009,0.0194074216763339,0.0063571428571428
dbpedia_14,large-6,stable_with_guard,456,,calibrated_10x_safe_max,,,0.0003131747314852,,0,False,False,0.9881,0.0058396993939365,0.049879066646099,0.0189257236793862,0.0061163865546218
dbpedia_14,large-6,fixed_order_with_guard,42,,calibrated_10x_safe_max,,,0.0017947329703249,,0,False,False,0.9866285714285714,0.0072254973952258,0.0605172924697399,0.0217810986339464,0.0070542016806722
dbpedia_14,large-6,fixed_order_with_guard,123,,calibrated_10x_safe_max,,,0.0017662415835635,,0,False,False,0.9860428571428572,0.0064697089144161,0.060501828789711,0.0226479089890921,0.0048689075630252
dbpedia_14,large-6,fixed_order_with_guard,456,,calibrated_10x_safe_max,,,0.0017287275045296,,0,False,False,0.9858857142857144,0.0072153520209449,0.0627853646874427,0.022850428583676,0.0061352941176471
dbpedia_14,medium-4,buggy_no_guard,42,0.0179473297032492,calibrated_10x_safe_max,,5.105076965398684,5.105076965398684,,0,False,False,0.7373142857142857,0.1788733109891414,2.5270121097564697,0.4271133276370503,0.0031899159663865
dbpedia_14,medium-4,buggy_no_guard,123,0.0179473297032492,calibrated_10x_safe_max,,5.0747600248618046,5.0747600248618046,,0,False,False,0.9335857142857142,0.0320764336322035,0.2727207541465759,0.1038582245377268,0.0034605042016807
dbpedia_14,medium-4,buggy_no_guard,456,0.0179473297032492,calibrated_10x_safe_max,,5.117841022745161,5.117841022745161,,0,False,False,0.9249714285714286,0.0321440326226609,0.2905558049678802,0.1154578671959075,0.0040936974789915
dbpedia_14,medium-4,buggy_failfast_guard,42,0.0179473297032492,calibrated_10x_safe_max,1.0,5.105076965398684,5.105076965398684,,1,True,False,0.0714285714285714,0.9285714285714286,25.657379150390625,1.8571428571428568,-2.7310924369750023e-05
dbpedia_14,medium-4,buggy_failfast_guard,123,0.0179473297032492,calibrated_10x_safe_max,1.0,5.0747600248618046,5.0747600248618046,,1,True,False,0.0714285714285714,0.9285714285714286,25.657379150390625,1.8571428571428568,0.0001470588235294
dbpedia_14,medium-4,buggy_failfast_guard,456,0.0179473297032492,calibrated_10x_safe_max,1.0,5.117841022745161,5.117841022745161,,1,True,False,0.0714285714285714,0.9285714285714286,25.657379150390625,1.8571428571428568,-0.0001428571428571
dbpedia_14,medium-4,buggy_rescue_guard,42,0.0179473297032492,calibrated_10x_safe_max,1.0,,0.0014883703817736,,1,False,True,0.9863857142857144,0.0054729054542524,0.0547679439187049,0.0218386938002125,0.0054693277310924
dbpedia_14,medium-4,buggy_rescue_guard,123,0.0179473297032492,calibrated_10x_safe_max,1.0,,0.0014171087529438,,1,False,True,0.9862714285714286,0.0052187299926366,0.0538849383592605,0.0219009858459768,0.005348319327731
dbpedia_14,medium-4,buggy_rescue_guard,456,0.0179473297032492,calibrated_10x_safe_max,1.0,,0.0014714725474433,,1,False,True,0.9866285714285714,0.0044896371641329,0.0521712824702262,0.0216249141710318,0.0042264705882353
dbpedia_14,medium-4,single_bad_first_step_then_stable,42,0.0179473297032492,calibrated_10x_safe_max,,5.105076965398684,5.105076965398684,,0,False,False,0.4138571428571428,0.5824676693524634,15.772100448608398,1.16711521600097,0.0001050420168067
dbpedia_14,medium-4,single_bad_first_step_then_stable,123,0.0179473297032492,calibrated_10x_safe_max,,5.0747600248618046,5.0747600248618046,,0,False,False,0.3308428571428571,0.6668387921869755,18.233896255493164,1.3350150365969626,-0.001981512605042
dbpedia_14,medium-4,single_bad_first_step_then_stable,456,0.0179473297032492,calibrated_10x_safe_max,,5.117841022745161,5.117841022745161,,0,False,False,0.3674714285714285,0.6292784457517523,17.244220733642578,1.2602307530867294,0.0022974789915966
dbpedia_14,large-6,buggy_no_guard,42,0.0179473297032492,calibrated_10x_safe_max,,10.992778047648734,10.992778047648734,,0,False,False,0.8646142857142857,0.1304605224485908,3.0365025997161865,0.2640363526582831,0.0071882352941177
dbpedia_14,large-6,buggy_no_guard,123,0.0179473297032492,calibrated_10x_safe_max,,10.984176633767834,10.984176633767834,,0,False,False,0.8192,0.1763343339294195,4.365744113922119,0.3554763858919684,0.0077138655462184
dbpedia_14,large-6,buggy_no_guard,456,0.0179473297032492,calibrated_10x_safe_max,,11.000147042372893,11.000147042372893,,0,False,False,0.7765285714285715,0.2168856017027582,5.065590858459473,0.4379096593540341,0.0031815126050419
dbpedia_14,large-6,buggy_failfast_guard,42,0.0179473297032492,calibrated_10x_safe_max,1.0,10.992778047648734,10.992778047648734,,1,True,False,0.0714285714285714,0.9285714285714286,25.657379150390625,1.8571428571428568,-5.882352941176394e-05
dbpedia_14,large-6,buggy_failfast_guard,123,0.0179473297032492,calibrated_10x_safe_max,1.0,10.984176633767834,10.984176633767834,,1,True,False,0.0714285714285714,0.9285714285714286,25.657379150390625,1.8571428571428568,0.0002184873949579
dbpedia_14,large-6,buggy_failfast_guard,456,0.0179473297032492,calibrated_10x_safe_max,1.0,11.000147042372893,11.000147042372893,,1,True,False,0.0714285714285714,0.9285714285714286,25.657379150390625,1.8571428571428568,-0.0001197478991596
dbpedia_14,large-6,buggy_rescue_guard,42,0.0179473297032492,calibrated_10x_safe_max,1.0,,0.0017913014112406,,1,False,True,0.9868428571428572,0.0072668056462491,0.0624474808573722,0.0221015239179872,0.0069869747899159
dbpedia_14,large-6,buggy_rescue_guard,123,0.0179473297032492,calibrated_10x_safe_max,1.0,,0.0017853375633315,,1,False,True,0.9851571428571428,0.0072875720675502,0.0642186030745506,0.024055458204825,0.0053743697478991
dbpedia_14,large-6,buggy_rescue_guard,456,0.0179473297032492,calibrated_10x_safe_max,1.0,,0.0018009038585224,,1,False,True,0.9860714285714286,0.0071482996387141,0.0624859035015106,0.022689325920863,0.0061491596638655
dbpedia_14,large-6,single_bad_first_step_then_stable,42,0.0179473297032492,calibrated_10x_safe_max,,10.992778047648734,10.992778047648734,,0,False,False,0.2888142857142857,0.709777374778475,19.55111122131348,1.4203794629430182,0.0002067226890756
dbpedia_14,large-6,single_bad_first_step_then_stable,123,0.0179473297032492,calibrated_10x_safe_max,,10.984176633767834,10.984176633767834,,0,False,False,0.2753714285714285,0.7242538229908263,19.9906005859375,1.448738076948421,0.0016789915966387
dbpedia_14,large-6,single_bad_first_step_then_stable,456,0.0179473297032492,calibrated_10x_safe_max,,11.000147042372893,11.000147042372893,,0,False,False,0.1853571428571428,0.8138201721072197,22.460962295532227,1.6281193345258118,0.0008697478991596
