model_name,condition,num_parameters,threshold,threshold_source,threshold_multiplier,threshold_calibration_conditions,guard_trigger_rate,stopped_rate,rescued_rate,first_guard_trigger_step_mean,max_guard_window_ratio_mean,test_acc_mean,test_acc_std,test_acc_ci95_low,test_acc_ci95_high,ece_mean,nll_mean,brier_mean,gap_mean
large-6,buggy_no_guard,12417550,0.01794732970324924,calibrated_10x_safe_max,10.0,"['stable_with_guard', 'fixed_order_with_guard']",0.0,0.0,0.0,,10.992367241263153,0.8201142857142857,0.035966653111659135,0.7794141862767877,0.8608143851517837,0.17456015269358952,4.155945857365926,0.35247413263476185,0.006027871148459374
large-6,buggy_failfast_guard,12417550,0.01794732970324924,calibrated_10x_safe_max,10.0,"['stable_with_guard', 'fixed_order_with_guard']",1.0,1.0,0.0,1.0,10.992367241263153,0.07142857142857142,0.0,0.07142857142857142,0.07142857142857142,0.9285714285714285,25.657379150390625,1.857142857142857,1.3305322128851863e-05
large-6,buggy_rescue_guard,12417550,0.01794732970324924,calibrated_10x_safe_max,10.0,"['stable_with_guard', 'fixed_order_with_guard']",1.0,0.0,1.0,1.0,0.0017925142776982232,0.9860238095238095,0.0006890132284832761,0.985244117656847,0.986803501390772,0.007234225784171186,0.06305066247781117,0.022948769347891796,0.006170168067226885
large-6,stable_with_guard,12417550,0.01794732970324924,calibrated_10x_safe_max,10.0,"['stable_with_guard', 'fixed_order_with_guard']",0.0,0.0,0.0,,0.00032362680044907376,0.9881523809523808,0.00015043399046600316,0.9879821488667948,0.9883226130379668,0.005848403071647583,0.05088075871268908,0.019107599501263086,0.00620826330532213
large-6,fixed_order_with_guard,12417550,0.01794732970324924,calibrated_10x_safe_max,10.0,"['stable_with_guard', 'fixed_order_with_guard']",0.0,0.0,0.0,,0.001763234019472716,0.9861857142857143,0.0003196511704159761,0.985823994934713,0.9865474336367157,0.006970186110195665,0.0612681619822979,0.02242647873557152,0.006019467787114892
large-6,single_bad_first_step_then_stable,12417550,0.01794732970324924,calibrated_10x_safe_max,10.0,"['stable_with_guard', 'fixed_order_with_guard']",0.0,0.0,0.0,,10.992367241263153,0.24984761904761907,0.045930699548316606,0.19787213962097377,0.30182309847426436,0.7492837899588404,20.667558034261067,1.4990789581390835,0.0009184873949580156
medium-4,buggy_no_guard,4633358,0.01794732970324924,calibrated_10x_safe_max,10.0,"['stable_with_guard', 'fixed_order_with_guard']",0.0,0.0,0.0,,5.0992260043352164,0.8652904761904763,0.09056114132154208,0.7628108975230566,0.9677700548578959,0.0810312590813353,1.0300962229569752,0.21547647312356155,0.003581372549019616
medium-4,buggy_failfast_guard,4633358,0.01794732970324924,calibrated_10x_safe_max,10.0,"['stable_with_guard', 'fixed_order_with_guard']",1.0,1.0,0.0,1.0,5.0992260043352164,0.07142857142857142,0.0,0.07142857142857142,0.07142857142857142,0.9285714285714285,25.657379150390625,1.857142857142857,-7.70308123249075e-06
medium-4,buggy_rescue_guard,4633358,0.01794732970324924,calibrated_10x_safe_max,10.0,"['stable_with_guard', 'fixed_order_with_guard']",1.0,0.0,1.0,1.0,0.001458983894053645,0.9864285714285715,0.0001489190073439104,0.9862600537077757,0.9865970891493674,0.005060424203674016,0.05360805491606394,0.021788197939073762,0.005014705882352939
medium-4,stable_with_guard,4633358,0.01794732970324924,calibrated_10x_safe_max,10.0,"['stable_with_guard', 'fixed_order_with_guard']",0.0,0.0,0.0,,0.00017287972296715256,0.9863666666666667,0.00017817416127494974,0.9861650436227163,0.9865682897106172,0.006303237542013312,0.05654288952549299,0.02199072399579249,0.0036333333333333404
medium-4,fixed_order_with_guard,4633358,0.01794732970324924,calibrated_10x_safe_max,10.0,"['stable_with_guard', 'fixed_order_with_guard']",0.0,0.0,0.0,,0.0014663989882675694,0.9864333333333333,0.0001683587574253574,0.9862428174644502,0.9866238492022164,0.005280950684135876,0.054001053174336754,0.021786401077806813,0.0050820728291316826
medium-4,single_bad_first_step_then_stable,4633358,0.01794732970324924,calibrated_10x_safe_max,10.0,"['stable_with_guard', 'fixed_order_with_guard']",0.0,0.0,0.0,,5.0992260043352164,0.3707238095238095,0.03396838132300707,0.3322849674862925,0.40916265156132653,0.6261949690970637,17.08340581258138,1.2541203352282209,0.0001403361344537816
