dataset,source_model,target_model,kappa,calibration_safe_max,threshold,safe_total,safe_false_positives,safe_false_positive_rate,unsafe_total,unsafe_detected,unsafe_detection_rate
ag_news,large-6,medium-4,10.0,3.0295997708220813e-05,0.0003029599770822081,6,0,0.0,12,12,1.0
ag_news,medium-4,large-6,10.0,2.4937129987906895e-05,0.0002493712998790689,6,0,0.0,12,12,1.0
dbpedia_14,large-6,medium-4,10.0,3.472303038485647e-05,0.0003472303038485647,6,0,0.0,12,12,1.0
dbpedia_14,medium-4,large-6,10.0,2.7088065303813195e-05,0.00027088065303813196,6,0,0.0,12,12,1.0
