dataset,model,seed,initial_lr,reference_lr,reference_step1_ratio,projected_step1_ratio,threshold_kappa10,margin_over_threshold,exceeds_threshold
ag_news,large-6,123,1.0,1.0,10.991920611163897,10.991920611163897,0.0003029599770822081,36281.75812866939,True
ag_news,large-6,123,0.3,1.0,10.991920611163897,3.297576183349169,0.0003029599770822081,10884.527438600817,True
ag_news,large-6,123,0.1,1.0,10.991920611163897,1.0991920611163897,0.0003029599770822081,3628.1758128669394,True
ag_news,large-6,123,0.03,1.0,10.991920611163897,0.3297576183349169,0.0003029599770822081,1088.4527438600817,True
ag_news,large-6,123,0.01,1.0,10.991920611163897,0.10991920611163897,0.0003029599770822081,362.8175812866939,True
ag_news,large-6,123,0.001,1.0,10.991920611163897,0.010991920611163898,0.0003029599770822081,36.281758128669395,True
ag_news,large-6,123,0.0001,1.0,10.991920611163897,0.0010991920611163896,0.0003029599770822081,3.6281758128669392,True
ag_news,large-6,42,1.0,1.0,11.004383542847531,11.004383542847531,0.0003029599770822081,36322.89535017193,True
ag_news,large-6,42,0.3,1.0,11.004383542847531,3.3013150628542594,0.0003029599770822081,10896.868605051579,True
ag_news,large-6,42,0.1,1.0,11.004383542847531,1.1004383542847531,0.0003029599770822081,3632.289535017193,True
ag_news,large-6,42,0.03,1.0,11.004383542847531,0.3301315062854259,0.0003029599770822081,1089.686860505158,True
ag_news,large-6,42,0.01,1.0,11.004383542847531,0.11004383542847532,0.0003029599770822081,363.22895350171933,True
ag_news,large-6,42,0.001,1.0,11.004383542847531,0.011004383542847532,0.0003029599770822081,36.32289535017193,True
ag_news,large-6,42,0.0001,1.0,11.004383542847531,0.0011004383542847533,0.0003029599770822081,3.6322895350171933,True
ag_news,large-6,456,1.0,1.0,10.998500859253104,10.998500859253104,0.0003029599770822081,36303.47798801379,True
ag_news,large-6,456,0.3,1.0,10.998500859253104,3.2995502577759313,0.0003029599770822081,10891.043396404137,True
ag_news,large-6,456,0.1,1.0,10.998500859253104,1.0998500859253104,0.0003029599770822081,3630.3477988013788,True
ag_news,large-6,456,0.03,1.0,10.998500859253104,0.3299550257775931,0.0003029599770822081,1089.1043396404136,True
ag_news,large-6,456,0.01,1.0,10.998500859253104,0.10998500859253105,0.0003029599770822081,363.03477988013793,True
ag_news,large-6,456,0.001,1.0,10.998500859253104,0.010998500859253104,0.0003029599770822081,36.30347798801379,True
ag_news,large-6,456,0.0001,1.0,10.998500859253104,0.0010998500859253106,0.0003029599770822081,3.6303477988013793,True
ag_news,medium-4,123,1.0,1.0,5.076113987968168,5.076113987968168,0.0003029599770822081,16755.0646024467,True
ag_news,medium-4,123,0.3,1.0,5.076113987968168,1.5228341963904504,0.0003029599770822081,5026.519380734009,True
ag_news,medium-4,123,0.1,1.0,5.076113987968168,0.5076113987968168,0.0003029599770822081,1675.5064602446698,True
ag_news,medium-4,123,0.03,1.0,5.076113987968168,0.15228341963904504,0.0003029599770822081,502.65193807340097,True
ag_news,medium-4,123,0.01,1.0,5.076113987968168,0.05076113987968168,0.0003029599770822081,167.55064602446697,True
ag_news,medium-4,123,0.001,1.0,5.076113987968168,0.005076113987968168,0.0003029599770822081,16.755064602446698,True
ag_news,medium-4,123,0.0001,1.0,5.076113987968168,0.0005076113987968168,0.0003029599770822081,1.6755064602446699,True
ag_news,medium-4,42,1.0,1.0,5.100825329224488,5.100825329224488,0.0003029599770822081,16836.630958155838,True
ag_news,medium-4,42,0.3,1.0,5.100825329224488,1.5302475987673463,0.0003029599770822081,5050.9892874467505,True
ag_news,medium-4,42,0.1,1.0,5.100825329224488,0.5100825329224489,0.0003029599770822081,1683.663095815584,True
ag_news,medium-4,42,0.03,1.0,5.100825329224488,0.15302475987673464,0.0003029599770822081,505.0989287446751,True
ag_news,medium-4,42,0.01,1.0,5.100825329224488,0.051008253292244884,0.0003029599770822081,168.3663095815584,True
ag_news,medium-4,42,0.001,1.0,5.100825329224488,0.005100825329224488,0.0003029599770822081,16.836630958155837,True
ag_news,medium-4,42,0.0001,1.0,5.100825329224488,0.0005100825329224488,0.0003029599770822081,1.6836630958155838,True
ag_news,medium-4,456,1.0,1.0,5.095492677053694,5.095492677053694,0.0003029599770822081,16819.0291210348,True
ag_news,medium-4,456,0.3,1.0,5.095492677053694,1.5286478031161082,0.0003029599770822081,5045.70873631044,True
ag_news,medium-4,456,0.1,1.0,5.095492677053694,0.5095492677053695,0.0003029599770822081,1681.9029121034803,True
ag_news,medium-4,456,0.03,1.0,5.095492677053694,0.15286478031161083,0.0003029599770822081,504.57087363104404,True
ag_news,medium-4,456,0.01,1.0,5.095492677053694,0.050954926770536944,0.0003029599770822081,168.19029121034802,True
ag_news,medium-4,456,0.001,1.0,5.095492677053694,0.0050954926770536944,0.0003029599770822081,16.819029121034802,True
ag_news,medium-4,456,0.0001,1.0,5.095492677053694,0.0005095492677053695,0.0003029599770822081,1.6819029121034803,True
dbpedia_14,large-6,123,1.0,1.0,10.984176633767834,10.984176633767834,0.0003472303038485647,31633.69242840709,True
dbpedia_14,large-6,123,0.3,1.0,10.984176633767834,3.2952529901303502,0.0003472303038485647,9490.107728522127,True
dbpedia_14,large-6,123,0.1,1.0,10.984176633767834,1.0984176633767835,0.0003472303038485647,3163.369242840709,True
dbpedia_14,large-6,123,0.03,1.0,10.984176633767834,0.329525299013035,0.0003472303038485647,949.0107728522127,True
dbpedia_14,large-6,123,0.01,1.0,10.984176633767834,0.10984176633767835,0.0003472303038485647,316.3369242840709,True
dbpedia_14,large-6,123,0.001,1.0,10.984176633767834,0.010984176633767835,0.0003472303038485647,31.63369242840709,True
dbpedia_14,large-6,123,0.0001,1.0,10.984176633767834,0.0010984176633767836,0.0003472303038485647,3.163369242840709,True
dbpedia_14,large-6,42,1.0,1.0,10.992778047648734,10.992778047648734,0.0003472303038485647,31658.463923825446,True
dbpedia_14,large-6,42,0.3,1.0,10.992778047648734,3.29783341429462,0.0003472303038485647,9497.539177147633,True
dbpedia_14,large-6,42,0.1,1.0,10.992778047648734,1.0992778047648735,0.0003472303038485647,3165.8463923825448,True
dbpedia_14,large-6,42,0.03,1.0,10.992778047648734,0.32978334142946203,0.0003472303038485647,949.7539177147635,True
dbpedia_14,large-6,42,0.01,1.0,10.992778047648734,0.10992778047648734,0.0003472303038485647,316.58463923825445,True
dbpedia_14,large-6,42,0.001,1.0,10.992778047648734,0.010992778047648734,0.0003472303038485647,31.658463923825447,True
