dataset,initial_lr,runs,projected_ratio_min,projected_ratio_max,threshold_kappa10,minimum_margin_over_threshold,all_runs_exceed_threshold
ag_news,1.0,6,5.076113987968168,11.004383542847531,0.0003029599770822081,16755.0646024467,True
ag_news,0.3,6,1.5228341963904504,3.3013150628542594,0.0003029599770822081,5026.519380734009,True
ag_news,0.1,6,0.5076113987968168,1.1004383542847531,0.0003029599770822081,1675.5064602446698,True
ag_news,0.03,6,0.15228341963904504,0.3301315062854259,0.0003029599770822081,502.65193807340097,True
ag_news,0.01,6,0.05076113987968168,0.11004383542847532,0.0003029599770822081,167.55064602446697,True
ag_news,0.001,6,0.005076113987968168,0.011004383542847532,0.0003029599770822081,16.755064602446698,True
ag_news,0.0001,6,0.0005076113987968168,0.0011004383542847533,0.0003029599770822081,1.6755064602446699,True
dbpedia_14,1.0,6,5.0747600248618046,11.000147042372891,0.0003472303038485647,14614.968706979638,True
dbpedia_14,0.3,6,1.5224280074585412,3.300044112711867,0.0003472303038485647,4384.490612093891,True
dbpedia_14,0.1,6,0.5074760024861805,1.1000147042372892,0.0003472303038485647,1461.496870697964,True
dbpedia_14,0.03,6,0.15224280074585414,0.33000441127118674,0.0003472303038485647,438.44906120938913,True
dbpedia_14,0.01,6,0.05074760024861805,0.11000147042372892,0.0003472303038485647,146.14968706979639,True
dbpedia_14,0.001,6,0.005074760024861805,0.011000147042372892,0.0003472303038485647,14.614968706979639,True
dbpedia_14,0.0001,6,0.0005074760024861805,0.0011000147042372892,0.0003472303038485647,1.4614968706979639,True
