model_name,condition,num_parameters,threshold,threshold_source,threshold_multiplier,threshold_calibration_conditions,guard_trigger_rate,stopped_rate,rescued_rate,first_guard_trigger_step_mean,max_guard_window_ratio_mean,test_acc_mean,test_acc_std,test_acc_ci95_low,test_acc_ci95_high,ece_mean,nll_mean,brier_mean,gap_mean
large-6,buggy_no_guard,12414980,0.020043868104189393,calibrated_10x_safe_max,10.0,"['stable_with_guard', 'fixed_order_with_guard']",0.0,0.0,0.0,,10.998268337754844,0.7443859649122807,0.011757167777659979,0.7310814771088551,0.7576904527157063,0.2438368512729281,5.152672290802002,0.49442209359577194,0.020770897832817343
large-6,buggy_failfast_guard,12414980,0.020043868104189393,calibrated_10x_safe_max,10.0,"['stable_with_guard', 'fixed_order_with_guard']",1.0,1.0,0.0,1.0,10.998268337754844,0.2501754385964912,0.0048361105785387866,0.24470286429756488,0.25564801289541755,0.7498183512844537,20.717192967732746,1.4996263680348612,0.00014809081527348647
large-6,buggy_rescue_guard,12414980,0.020043868104189393,calibrated_10x_safe_max,10.0,"['stable_with_guard', 'fixed_order_with_guard']",1.0,0.0,1.0,1.0,0.002027260474739649,0.9219736842105263,0.004061223519182483,0.9173779771661293,0.9265693912549232,0.029749123173063236,0.25886620084444684,0.12223898591180565,0.03427468180254556
large-6,stable_with_guard,12414980,0.020043868104189393,calibrated_10x_safe_max,10.0,"['stable_with_guard', 'fixed_order_with_guard']",0.0,0.0,0.0,,0.0003390015810778168,0.9209649122807018,0.0035049321094749357,0.9169987082267842,0.9249311163346193,0.025738909736014243,0.256991575161616,0.1231505348762777,0.030394564843481242
large-6,fixed_order_with_guard,12414980,0.020043868104189393,calibrated_10x_safe_max,10.0,"['stable_with_guard', 'fixed_order_with_guard']",0.0,0.0,0.0,,0.001903543009769507,0.924342105263158,0.0012666253577362733,0.9229087837403052,0.9257754267860108,0.03446191631388247,0.2618621389071147,0.11899005768520997,0.03841279669762639
large-6,single_bad_first_step_then_stable,12414980,0.020043868104189393,calibrated_10x_safe_max,10.0,"['stable_with_guard', 'fixed_order_with_guard']",0.0,0.0,0.0,,10.998268337754844,0.37776315789473686,0.01246370538745305,0.3636591475200663,0.39186716826940743,0.6215840021350928,17.078500747680664,1.2434877237986883,0.004981940144478836
medium-4,buggy_no_guard,4632068,0.020043868104189393,calibrated_10x_safe_max,10.0,"['stable_with_guard', 'fixed_order_with_guard']",0.0,0.0,0.0,,5.090810664748783,0.8060964912280703,0.032437227775627284,0.7693903125395439,0.8428026699165966,0.08953762318873615,0.6650137106577555,0.29338264145561116,0.023004815961472264
medium-4,buggy_failfast_guard,4632068,0.020043868104189393,calibrated_10x_safe_max,10.0,"['stable_with_guard', 'fixed_order_with_guard']",1.0,1.0,0.0,1.0,5.090810664748783,0.25,0.0,0.25,0.25,0.75,20.7232666015625,1.5,-0.00013725490196078716
medium-4,buggy_rescue_guard,4632068,0.020043868104189393,calibrated_10x_safe_max,10.0,"['stable_with_guard', 'fixed_order_with_guard']",1.0,0.0,1.0,1.0,0.0015527437532776363,0.9267105263157894,0.0005684860261761025,0.9260672238177126,0.9273538288138663,0.025106162052405484,0.24062716960906982,0.11549851771571973,0.030590127278981805
medium-4,stable_with_guard,4632068,0.020043868104189393,calibrated_10x_safe_max,10.0,"['stable_with_guard', 'fixed_order_with_guard']",0.0,0.0,0.0,,0.00019187376785154522,0.9216666666666667,0.0015053510790991908,0.9199632015592109,0.9233701317741226,0.02934471387481481,0.25176891187826794,0.12150391145428668,0.0361209150326797
medium-4,fixed_order_with_guard,4632068,0.020043868104189393,calibrated_10x_safe_max,10.0,"['stable_with_guard', 'fixed_order_with_guard']",0.0,0.0,0.0,,0.0015253898180941888,0.9274122807017543,0.0007771949625732148,0.9265328018088795,0.9282917595946291,0.024371793645254363,0.23447503646214804,0.11328831459454425,0.03454523563811488
medium-4,single_bad_first_step_then_stable,4632068,0.020043868104189393,calibrated_10x_safe_max,10.0,"['stable_with_guard', 'fixed_order_with_guard']",0.0,0.0,0.0,,5.090810664748783,0.42328947368421055,0.03306604516066206,0.3858717211381032,0.4607072262303179,0.5749189482367875,15.577609697977701,1.1504211439532759,0.002383728930168564
