dataset_name,model_name,condition,seed,threshold,threshold_source,first_guard_trigger_step,first_step_update_ratio,max_guard_window_ratio,max_training_ratio,guard_trigger_count,stopped_by_guard,rescued_once,test_acc,ece,nll,brier,generalization_gap_01
ag_news,medium-4,stable_with_guard,42,,calibrated_10x_safe_max,,,0.0001926499773502,,0,False,False,0.9198684210526316,0.0327432797182547,0.259363979101181,0.1233832615517018,0.0413374613003095
ag_news,medium-4,stable_with_guard,123,,calibrated_10x_safe_max,,,0.0001897714110828,,0,False,False,0.921578947368421,0.0232304175315719,0.2424904257059097,0.1206688693128172,0.0346465428276573
ag_news,medium-4,stable_with_guard,456,,calibrated_10x_safe_max,,,0.0001931999151215,,0,False,False,0.9235526315789474,0.0320604443746177,0.253452330827713,0.1204596034983409,0.0323787409700722
ag_news,medium-4,fixed_order_with_guard,42,,calibrated_10x_safe_max,,,0.0014757250302319,,0,False,False,0.9278947368421052,0.0235193916253353,0.2344966828823089,0.1126030480474895,0.0358013415892672
ag_news,medium-4,fixed_order_with_guard,123,,calibrated_10x_safe_max,,,0.0015374778595589,,0,False,False,0.9263157894736842,0.025819314275133,0.2397302389144897,0.1156100017201564,0.0301842105263158
ag_news,medium-4,fixed_order_with_guard,456,,calibrated_10x_safe_max,,,0.0015629665644917,,0,False,False,0.9280263157894736,0.0237766750352947,0.2291981875896453,0.1116518940159867,0.0376501547987615
ag_news,large-6,stable_with_guard,42,,calibrated_10x_safe_max,,,0.0003349711024216,,0,False,False,0.925657894736842,0.0377489622054915,0.2600067257881164,0.1173758769449021,0.0443519091847265
ag_news,large-6,stable_with_guard,123,,calibrated_10x_safe_max,,,0.0003392830977934,,0,False,False,0.92,0.0283534218919904,0.2565948367118835,0.1247580549781275,0.0229901960784313
ag_news,large-6,stable_with_guard,456,,calibrated_10x_safe_max,,,0.0003427505430183,,0,False,False,0.9172368421052632,0.0111143451105607,0.254373162984848,0.1273176727058033,0.0238415892672858
ag_news,large-6,fixed_order_with_guard,42,,calibrated_10x_safe_max,,,0.0020043868104189,,0,False,False,0.9247368421052632,0.0373217260602273,0.2672765851020813,0.1178236854464014,0.037782765737874
ag_news,large-6,fixed_order_with_guard,123,,calibrated_10x_safe_max,,,0.001815102966317,,0,False,False,0.9226315789473684,0.0301329581165,0.2541941702365875,0.1205680007485688,0.0292213622291021
ag_news,large-6,fixed_order_with_guard,456,,calibrated_10x_safe_max,,,0.0018911392525725,,0,False,False,0.925657894736842,0.03593106476492,0.2641156613826751,0.1185784868606596,0.0482342621259029
ag_news,medium-4,buggy_no_guard,42,0.0200438681041893,calibrated_10x_safe_max,,5.100825329224488,5.100825329224488,,0,False,False,0.7861842105263158,0.100435774200841,0.7732637524604797,0.3278184539862149,0.0228942208462331
ag_news,medium-4,buggy_no_guard,123,0.0200438681041893,calibrated_10x_safe_max,,5.076113987968168,5.076113987968168,,0,False,False,0.8518421052631578,0.0742163136875943,0.5374038219451904,0.2301788102774612,0.0232853457172342
ag_news,medium-4,buggy_no_guard,456,0.0200438681041893,calibrated_10x_safe_max,,5.095492677053694,5.095492677053694,,0,False,False,0.7802631578947369,0.0939607816777731,0.6843735575675964,0.3221506601031574,0.0228348813209493
ag_news,medium-4,buggy_failfast_guard,42,0.0200438681041893,calibrated_10x_safe_max,1.0,5.100825329224488,5.100825329224488,,1,True,False,0.25,0.75,20.7232666015625,1.5,-0.0002156862745097
ag_news,medium-4,buggy_failfast_guard,123,0.0200438681041893,calibrated_10x_safe_max,1.0,5.076113987968168,5.076113987968168,,1,True,False,0.25,0.75,20.7232666015625,1.5,-0.0001470588235294
ag_news,medium-4,buggy_failfast_guard,456,0.0200438681041893,calibrated_10x_safe_max,1.0,5.095492677053694,5.095492677053694,,1,True,False,0.25,0.75,20.7232666015625,1.5,-4.901960784314818e-05
